country,year,work_hours
Canada,2011,1700
Canada,2012,1713
Canada,2013,1707
Canada,2014,1704
Canada,2015,1707
Spain,2000,1753
Spain,2001,1763
Spain,2002,1765
Spain,2003,1756
Spain,2004,1742
Spain,2005,1726
Spain,2006,1716
Spain,2007,1704
Spain,2008,1713
Spain,2009,1720
Spain,2010,1710
Spain,2011,1716
Spain,2012,1701
Spain,2013,1694
Spain,2014,1697
Spain,2015,1701
Finland,2000,1742
Finland,2001,1723
Finland,2002,1714
Finland,2003,1705
Finland,2004,1707
Finland,2005,1697
Finland,2006,1693
Finland,2007,1691
Finland,2008,1685
Finland,2009,1661
Finland,2010,1668
Finland,2011,1662
Finland,2012,1650
Finland,2013,1640
Finland,2014,1636
Finland,2015,1641
Slovenia,2000,1710
Slovenia,2001,1696
Slovenia,2002,1721
Slovenia,2003,1724
Slovenia,2004,1737
Slovenia,2005,1697
Slovenia,2006,1667
Slovenia,2007,1655
Slovenia,2008,1674
Slovenia,2009,1679
Slovenia,2010,1680
Slovenia,2011,1663
Slovenia,2012,1644
Slovenia,2013,1662
Slovenia,2014,1682
Slovenia,2015,1688
United Kingdom,2000,1700
United Kingdom,2001,1705
United Kingdom,2002,1684
United Kingdom,2003,1674
United Kingdom,2004,1674
United Kingdom,2005,1673
United Kingdom,2006,1669
United Kingdom,2007,1677
United Kingdom,2008,1659
United Kingdom,2009,1651
United Kingdom,2010,1650
United Kingdom,2011,1634
United Kingdom,2012,1654
United Kingdom,2013,1666
United Kingdom,2014,1677
United Kingdom,2015,1674
Switzerland,2000,1674
Switzerland,2001,1635
Switzerland,2002,1614
Switzerland,2003,1627
Switzerland,2004,1657
Switzerland,2005,1652
Switzerland,2006,1643
Switzerland,2007,1633
Switzerland,2008,1623
Switzerland,2009,1615
Switzerland,2010,1612
Switzerland,2011,1605
Switzerland,2012,1591
Switzerland,2013,1573
Switzerland,2014,1568
Switzerland,2015,1590
Sweden,2000,1642
Sweden,2001,1618
Sweden,2002,1595
Sweden,2003,1582
Sweden,2004,1605
Sweden,2005,1605
Sweden,2006,1599
Sweden,2007,1612
Sweden,2008,1617
Sweden,2009,1609
Sweden,2010,1635
Sweden,2011,1632
Sweden,2012,1618
Sweden,2013,1609
Sweden,2014,1609
Sweden,2015,1611
Luxembourg,2000,1602
Luxembourg,2001,1586
Luxembourg,2002,1581
Luxembourg,2003,1579
Luxembourg,2004,1578
Luxembourg,2005,1550
Luxembourg,2006,1552
Luxembourg,2007,1566
Luxembourg,2008,1567
Luxembourg,2009,1516
Luxembourg,2010,1517
Luxembourg,2011,1515
Luxembourg,2012,1508
Luxembourg,2013,1501
Luxembourg,2014,1508
Luxembourg,2015,1515
Belgium,2000,1595
Belgium,2001,1588
Belgium,2002,1583
Belgium,2003,1578
Belgium,2004,1573
Belgium,2005,1565
Belgium,2006,1572
Belgium,2007,1577
Belgium,2008,1570
Belgium,2009,1548
Belgium,2010,1546
Belgium,2011,1560
Belgium,2012,1560
Belgium,2013,1558
Belgium,2014,1556
Belgium,2015,1551
France,2000,1535
France,2001,1526
France,2002,1487
France,2003,1484
France,2004,1513
France,2005,1507
France,2006,1484
France,2007,1500
France,2008,1507
France,2009,1489
France,2010,1494
France,2011,1496
France,2012,1490
France,2013,1474
France,2014,1473
France,2015,1482
Denmark,2000,1466
Denmark,2001,1469
Denmark,2002,1463
Denmark,2003,1458
Denmark,2004,1458
Denmark,2005,1451
Denmark,2006,1456
Denmark,2007,1433
Denmark,2008,1430
Denmark,2009,1417
Denmark,2010,1422
Denmark,2011,1437
Denmark,2012,1423
Denmark,2013,1426
Denmark,2014,1414
Denmark,2015,1412
Netherlands,2000,1462
Netherlands,2001,1452
Netherlands,2002,1435
Netherlands,2003,1427
Netherlands,2004,1448
Netherlands,2005,1434
Netherlands,2006,1430
Netherlands,2007,1430
Netherlands,2008,1430
Netherlands,2009,1422
Netherlands,2010,1421
Netherlands,2011,1422
Netherlands,2012,1413
Netherlands,2013,1418
Netherlands,2014,1429
Netherlands,2015,1422
Norway,2000,1455
Norway,2001,1429
Norway,2002,1414
Norway,2003,1401
Norway,2004,1421
Norway,2005,1423
Norway,2006,1420
Norway,2007,1426
Norway,2008,1430
Norway,2009,1407
Norway,2010,1415
Norway,2011,1421
Norway,2012,1420
Norway,2013,1408
Norway,2014,1427
Norway,2015,1424
Germany,2000,1452
Germany,2001,1442
Germany,2002,1431
Germany,2003,1425
Germany,2004,1422
Germany,2005,1411
Germany,2006,1425
Germany,2007,1424
Germany,2008,1418
Germany,2009,1373
Germany,2010,1390
Germany,2011,1393
Germany,2012,1375
Germany,2013,1362
Germany,2014,1368
Germany,2015,1368
