country,year,pov_rate
FINLAND,2012,0.065
FINLAND,2013,0.071
FINLAND,2014,0.068
FINLAND,2015,0.063
FINLAND,2016,0.057999999999999996
FINLAND,2017,0.063
FRANCE,2012,0.085
FRANCE,2013,0.079
FRANCE,2014,0.081
FRANCE,2015,0.081
FRANCE,2016,0.083
FRANCE,2017,0.081
GERMANY,2008,0.09
GERMANY,2011,0.087
GERMANY,2012,0.084
GERMANY,2013,0.091
GERMANY,2014,0.095
GERMANY,2015,0.10099999999999999
GERMANY,2016,0.10400000000000001
GERMANY,2017,0.10400000000000001
GREECE,2004,0.12
GREECE,2005,0.129
GREECE,2006,0.127
GREECE,2007,0.132
GREECE,2008,0.129
GREECE,2009,0.129
GREECE,2010,0.141
GREECE,2011,0.151
GREECE,2012,0.149
GREECE,2013,0.151
GREECE,2014,0.14800000000000002
GREECE,2015,0.149
GREECE,2016,0.14400000000000002
GREECE,2017,0.126
HUNGARY,2006,0.07200000000000001
HUNGARY,2007,0.065
HUNGARY,2008,0.059000000000000004
HUNGARY,2009,0.061
HUNGARY,2010,0.073
HUNGARY,2011,0.077
HUNGARY,2012,0.085
HUNGARY,2013,0.086
HUNGARY,2014,0.087
HUNGARY,2015,0.085
HUNGARY,2016,0.077
HUNGARY,2017,0.08
ICELAND,2004,0.057999999999999996
ICELAND,2005,0.063
ICELAND,2006,0.057
ICELAND,2007,0.066
ICELAND,2008,0.066
ICELAND,2009,0.062
ICELAND,2010,0.066
ICELAND,2011,0.057999999999999996
ICELAND,2012,0.061
ICELAND,2013,0.045
ICELAND,2014,0.067
ICELAND,2015,0.054000000000000006
IRELAND,2004,0.134
IRELAND,2005,0.11599999999999999
IRELAND,2006,0.114
IRELAND,2007,0.096
IRELAND,2008,0.091
IRELAND,2009,0.08800000000000001
IRELAND,2010,0.091
IRELAND,2011,0.1
IRELAND,2012,0.094
IRELAND,2013,0.095
IRELAND,2014,0.09300000000000001
IRELAND,2015,0.098
IRELAND,2016,0.091
IRELAND,2017,0.09
ITALY,2004,0.122
ITALY,2005,0.126
ITALY,2006,0.12300000000000001
ITALY,2007,0.11900000000000001
ITALY,2008,0.11900000000000001
ITALY,2009,0.12
ITALY,2010,0.134
ITALY,2011,0.128
ITALY,2012,0.13
ITALY,2013,0.133
ITALY,2014,0.13699999999999998
ITALY,2015,0.14400000000000002
ITALY,2016,0.13699999999999998
ITALY,2017,0.139
REPUBLIC OF KOREA,2015,0.175
REPUBLIC OF KOREA,2016,0.17600000000000002
REPUBLIC OF KOREA,2017,0.174
LUXEMBOURG,2015,0.109
LUXEMBOURG,2016,0.111
LUXEMBOURG,2017,0.122
MEXICO,2012,0.18899999999999997
MEXICO,2014,0.16699999999999998
MEXICO,2016,0.166
NETHERLANDS,2011,0.066
NETHERLANDS,2012,0.069
NETHERLANDS,2013,0.079
NETHERLANDS,2014,0.078
NETHERLANDS,2015,0.078
NETHERLANDS,2016,0.083
NEW ZEALAND,2011,0.098
NEW ZEALAND,2012,0.099
NEW ZEALAND,2014,0.109
NORWAY,2004,0.069
NORWAY,2008,0.078
NORWAY,2009,0.075
NORWAY,2010,0.075
NORWAY,2011,0.077
NORWAY,2012,0.081
NORWAY,2013,0.078
NORWAY,2014,0.081
NORWAY,2015,0.081
NORWAY,2016,0.08199999999999999
NORWAY,2017,0.084
POLAND,2005,0.124
POLAND,2006,0.11
POLAND,2007,0.096
POLAND,2008,0.107
POLAND,2009,0.10800000000000001
POLAND,2010,0.107
POLAND,2011,0.106
POLAND,2012,0.10400000000000001
POLAND,2013,0.106
POLAND,2014,0.10400000000000001
POLAND,2015,0.111
POLAND,2016,0.10300000000000001
POLAND,2017,0.096
PORTUGAL,2004,0.132
PORTUGAL,2005,0.126
PORTUGAL,2006,0.124
PORTUGAL,2007,0.128
PORTUGAL,2008,0.113
PORTUGAL,2009,0.11599999999999999
PORTUGAL,2010,0.109
PORTUGAL,2011,0.114
PORTUGAL,2012,0.13
PORTUGAL,2013,0.135
PORTUGAL,2014,0.135
PORTUGAL,2015,0.125
PORTUGAL,2016,0.125
PORTUGAL,2017,0.107
SLOVAKIA,2004,0.083
SLOVAKIA,2005,0.07200000000000001
SLOVAKIA,2006,0.065
SLOVAKIA,2007,0.069
SLOVAKIA,2008,0.07200000000000001
SLOVAKIA,2009,0.079
SLOVAKIA,2010,0.08
SLOVAKIA,2011,0.08199999999999999
SLOVAKIA,2012,0.085
SLOVAKIA,2013,0.085
SLOVAKIA,2014,0.08800000000000001
SLOVAKIA,2015,0.085
SLOVAKIA,2016,0.085
SPAIN,2007,0.14400000000000002
SPAIN,2008,0.146
SPAIN,2009,0.14800000000000002
SPAIN,2010,0.139
SPAIN,2011,0.147
SPAIN,2012,0.141
SPAIN,2013,0.159
SPAIN,2014,0.153
SPAIN,2015,0.153
SPAIN,2016,0.156
SPAIN,2017,0.14800000000000002
SWEDEN,2013,0.086
SWEDEN,2014,0.09
SWEDEN,2015,0.092
SWEDEN,2016,0.091
SWEDEN,2017,0.09300000000000001
SWITZERLAND,2006,0.09699999999999999
SWITZERLAND,2007,0.094
SWITZERLAND,2008,0.09699999999999999
SWITZERLAND,2009,0.094
SWITZERLAND,2010,0.094
SWITZERLAND,2011,0.105
SWITZERLAND,2012,0.091
SWITZERLAND,2013,0.086
SWITZERLAND,2014,0.099
SWITZERLAND,2015,0.091
TURKEY,2011,0.18600000000000003
TURKEY,2012,0.177
TURKEY,2013,0.171
TURKEY,2014,0.17300000000000001
TURKEY,2015,0.172
UNITED KINGDOM,2002,0.126
UNITED KINGDOM,2003,0.124
UNITED KINGDOM,2004,0.11599999999999999
UNITED KINGDOM,2005,0.12
UNITED KINGDOM,2006,0.126
UNITED KINGDOM,2007,0.128
UNITED KINGDOM,2008,0.12300000000000001
UNITED KINGDOM,2009,0.11199999999999999
UNITED KINGDOM,2010,0.11
UNITED KINGDOM,2011,0.10400000000000001
UNITED KINGDOM,2012,0.105
UNITED KINGDOM,2013,0.10400000000000001
UNITED KINGDOM,2014,0.105
UNITED KINGDOM,2015,0.109
UNITED KINGDOM,2016,0.111
UNITED KINGDOM,2017,0.11900000000000001
UNITED STATES,2013,0.172
UNITED STATES,2014,0.175
UNITED STATES,2015,0.168
UNITED STATES,2016,0.17800000000000002
UNITED STATES,2017,0.17800000000000002
ESTONIA,2013,0.158
ESTONIA,2014,0.157
ESTONIA,2015,0.16
ESTONIA,2016,0.158
ESTONIA,2017,0.158
ISRAEL,2011,0.18100000000000002
ISRAEL,2012,0.184
ISRAEL,2013,0.18600000000000003
ISRAEL,2014,0.18600000000000003
ISRAEL,2015,0.195
ISRAEL,2016,0.177
ISRAEL,2017,0.179
ISRAEL,2018,0.16899999999999998
SLOVENIA,2004,0.079
SLOVENIA,2005,0.071
SLOVENIA,2006,0.07400000000000001
SLOVENIA,2007,0.079
SLOVENIA,2008,0.079
SLOVENIA,2009,0.083
SLOVENIA,2010,0.091
SLOVENIA,2011,0.086
SLOVENIA,2012,0.095
SLOVENIA,2013,0.095
SLOVENIA,2014,0.09300000000000001
SLOVENIA,2015,0.092
SLOVENIA,2016,0.086
SLOVENIA,2017,0.085
JAPAN,2009,0.16
JAPAN,2012,0.161
JAPAN,2015,0.157
CHILE,2009,0.17800000000000002
CHILE,2011,0.184
CHILE,2013,0.168
CHILE,2015,0.161
CHILE,2017,0.165
LATVIA,2004,0.142
LATVIA,2005,0.17600000000000002
LATVIA,2006,0.146
LATVIA,2007,0.18600000000000003
LATVIA,2008,0.191
LATVIA,2009,0.141
LATVIA,2010,0.133
LATVIA,2011,0.129
LATVIA,2012,0.133
LATVIA,2013,0.145
LATVIA,2014,0.16399999999999998
LATVIA,2015,0.162
LATVIA,2016,0.16699999999999998
LATVIA,2017,0.166
LITHUANIA,2004,0.13699999999999998
LITHUANIA,2005,0.145
LITHUANIA,2006,0.136
LITHUANIA,2007,0.132
LITHUANIA,2008,0.146
LITHUANIA,2009,0.15
LITHUANIA,2010,0.127
LITHUANIA,2011,0.126
LITHUANIA,2012,0.14300000000000002
LITHUANIA,2013,0.124
LITHUANIA,2014,0.157
LITHUANIA,2015,0.165
LITHUANIA,2016,0.168
LITHUANIA,2017,0.17300000000000001
BRAZIL,2006,0.212
BRAZIL,2009,0.20600000000000002
BRAZIL,2011,0.209
BRAZIL,2013,0.2
CHINA,2011,0.28800000000000003
INDIA,2004,0.198
INDIA,2011,0.19699999999999998
RUSSIA,2011,0.146
RUSSIA,2016,0.127
SOUTH AFRICA,2015,0.266
COSTA RICA,2010,0.2
COSTA RICA,2011,0.207
COSTA RICA,2012,0.213
COSTA RICA,2013,0.21
COSTA RICA,2014,0.215
COSTA RICA,2015,0.20600000000000002
COSTA RICA,2016,0.209
COSTA RICA,2017,0.204
COSTA RICA,2018,0.209
COSTA RICA,2019,0.19899999999999998
BULGARIA,2006,0.17600000000000002
BULGARIA,2007,0.166
BULGARIA,2008,0.159
BULGARIA,2009,0.152
BULGARIA,2010,0.15
BULGARIA,2011,0.162
BULGARIA,2012,0.154
BULGARIA,2013,0.16
BULGARIA,2014,0.166
BULGARIA,2015,0.168
BULGARIA,2016,0.16899999999999998
BULGARIA,2017,0.162
ROMANIA,2006,0.192
ROMANIA,2007,0.17
ROMANIA,2008,0.166
ROMANIA,2009,0.16
ROMANIA,2010,0.16699999999999998
ROMANIA,2011,0.16699999999999998
ROMANIA,2012,0.165
ROMANIA,2013,0.182
ROMANIA,2014,0.187
ROMANIA,2015,0.193
ROMANIA,2016,0.18
ROMANIA,2017,0.179
